,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,id
0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.25,"id    1206360126006943744
Name: 0, dtype: object"
1,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,"id    1206350099959484419
Name: 1, dtype: object"
2,0.4,0.0,0.2,0.2,0.0,0.2,0.0,0.0,"id    1206316962378219521
Name: 2, dtype: object"
3,0.4,0.0,0.2,0.2,0.0,0.2,0.0,0.0,"id    1206291016527077376
Name: 3, dtype: object"
4,0.4,0.0,0.2,0.2,0.0,0.2,0.0,0.0,"id    1206282466207715328
Name: 4, dtype: object"
5,0.4,0.0,0.2,0.2,0.0,0.2,0.0,0.0,"id    1206109502577266688
Name: 5, dtype: object"
6,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,"id    1206014010660917249
Name: 6, dtype: object"
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206013282114560002
Name: 7, dtype: object"
8,,,,,,,,,"id    1206009938562179073
Name: 8, dtype: object"
9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1205995663898619910
Name: 9, dtype: object"
10,0.25,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.25,0.08333333333333333,0.0,"id    1205983733310009344
Name: 10, dtype: object"
11,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,"id    1205961702929575936
Name: 11, dtype: object"
12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1205949663406444544
Name: 12, dtype: object"
13,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,"id    1205930815277940737
Name: 13, dtype: object"
14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1205926606436552709
Name: 14, dtype: object"
15,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,"id    1205914993318912000
Name: 15, dtype: object"
16,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,"id    1205869732844441600
Name: 16, dtype: object"
17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1205837730132963328
Name: 17, dtype: object"
