,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,id
0,0.2,0.0,0.0,0.4,0.0,0.4,0.0,0.0,"id    1206362410409451521
Name: 0, dtype: object"
1,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25,"id    1206361496663580672
Name: 1, dtype: object"
2,0.2,0.0,0.0,0.4,0.0,0.4,0.0,0.0,"id    1206361307324108800
Name: 2, dtype: object"
3,,,,,,,,,"id    1206361269286178816
Name: 3, dtype: object"
4,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.2,"id    1206361065883176962
Name: 4, dtype: object"
5,0.25,0.0,0.0,0.25,0.0,0.375,0.0,0.125,"id    1206355310400737280
Name: 5, dtype: object"
6,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.42857142857142855,0.0,0.14285714285714285,"id    1206353793417437187
Name: 6, dtype: object"
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206352728211034112
Name: 7, dtype: object"
8,,,,,,,,,"id    1206351812078555136
Name: 8, dtype: object"
9,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,"id    1206349038045597697
Name: 9, dtype: object"
10,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,"id    1206347643074629634
Name: 10, dtype: object"
11,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,"id    1206347053158338560
Name: 11, dtype: object"
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206346812896030720
Name: 12, dtype: object"
13,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,"id    1206345656920608768
Name: 13, dtype: object"
14,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,"id    1206341210874503169
Name: 14, dtype: object"
15,,,,,,,,,"id    1206336319921819653
Name: 15, dtype: object"
16,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,"id    1206335920737271808
Name: 16, dtype: object"
17,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,"id    1206333755188809728
Name: 17, dtype: object"
18,0.2,0.0,0.0,0.6,0.0,0.2,0.0,0.0,"id    1206331618492866570
Name: 18, dtype: object"
19,0.25,0.0,0.0,0.5,0.0,0.25,0.0,0.0,"id    1206330440073842688
Name: 19, dtype: object"
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206328140202749952
Name: 20, dtype: object"
21,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,"id    1206326494563389441
Name: 21, dtype: object"
22,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,"id    1206326213700210688
Name: 22, dtype: object"
23,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,"id    1206325987434123264
Name: 23, dtype: object"
24,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,"id    1206323578960003073
Name: 24, dtype: object"
25,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.0,"id    1206323345362444291
Name: 25, dtype: object"
26,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,"id    1206317426096238592
Name: 26, dtype: object"
27,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,"id    1206315173914595333
Name: 27, dtype: object"
28,0.1,0.1,0.0,0.2,0.0,0.2,0.1,0.3,"id    1206315164716322816
Name: 28, dtype: object"
29,0.15384615384615385,0.0,0.0,0.23076923076923078,0.07692307692307693,0.46153846153846156,0.0,0.07692307692307693,"id    1206305793659822080
Name: 29, dtype: object"
30,0.25,0.0,0.0,0.25,0.0,0.375,0.0,0.125,"id    1206305550931316736
Name: 30, dtype: object"
31,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,"id    1206304266224373761
Name: 31, dtype: object"
32,0.2,0.0,0.0,0.4,0.0,0.4,0.0,0.0,"id    1206300611249086470
Name: 32, dtype: object"
33,0.2,0.0,0.0,0.2,0.0,0.4,0.0,0.2,"id    1206299241561436160
Name: 33, dtype: object"
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206297931969650694
Name: 34, dtype: object"
35,0.1111111111111111,0.0,0.2222222222222222,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,"id    1206297082988027908
Name: 35, dtype: object"
36,0.0,0.25,0.0,0.25,0.0,0.5,0.0,0.0,"id    1206294092101148673
Name: 36, dtype: object"
37,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,"id    1206294056910888968
Name: 37, dtype: object"
38,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,"id    1206286124924190720
Name: 38, dtype: object"
39,0.2857142857142857,0.0,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,"id    1206285611419594752
Name: 39, dtype: object"
40,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,"id    1206285326743937026
Name: 40, dtype: object"
41,,,,,,,,,"id    1206283607326765059
Name: 41, dtype: object"
42,,,,,,,,,"id    1206282271256436736
Name: 42, dtype: object"
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206282112560746501
Name: 43, dtype: object"
44,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,"id    1206280409870487555
Name: 44, dtype: object"
45,,,,,,,,,"id    1206279348019515401
Name: 45, dtype: object"
46,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,"id    1206277150804004864
Name: 46, dtype: object"
47,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.42857142857142855,0.0,0.14285714285714285,"id    1206276080090279936
Name: 47, dtype: object"
48,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.0,0.3333333333333333,0.0,0.0,"id    1206275010924445696
Name: 48, dtype: object"
49,0.4,0.0,0.2,0.2,0.0,0.2,0.0,0.0,"id    1206274294616973312
Name: 49, dtype: object"
50,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,"id    1206274060528836615
Name: 50, dtype: object"
51,0.3,0.0,0.2,0.3,0.0,0.2,0.0,0.0,"id    1206273340400377858
Name: 51, dtype: object"
52,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,"id    1206266197232234497
Name: 52, dtype: object"
53,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.4,"id    1206265959096442881
Name: 53, dtype: object"
54,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,"id    1206262902723928066
Name: 54, dtype: object"
55,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,"id    1206262870486519813
Name: 55, dtype: object"
56,0.25,0.0,0.0,0.25,0.0,0.5,0.0,0.0,"id    1206262183493013504
Name: 56, dtype: object"
57,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.2,"id    1206259805716983815
Name: 57, dtype: object"
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206259677685784576
Name: 58, dtype: object"
59,,,,,,,,,"id    1206256970283438080
Name: 59, dtype: object"
60,0.16666666666666666,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,"id    1206252307731664896
Name: 60, dtype: object"
61,0.25,0.0,0.0,0.375,0.0,0.375,0.0,0.0,"id    1206250100466626560
Name: 61, dtype: object"
62,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,"id    1206246465665978368
Name: 62, dtype: object"
63,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,"id    1206244118122442753
Name: 63, dtype: object"
64,0.2,0.0,0.0,0.4,0.0,0.4,0.0,0.0,"id    1206242939451691010
Name: 64, dtype: object"
65,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,"id    1206242357588283398
Name: 65, dtype: object"
66,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,"id    1206240195147755520
Name: 66, dtype: object"
67,0.0,0.125,0.0,0.25,0.125,0.25,0.25,0.0,"id    1206240129817497601
Name: 67, dtype: object"
68,,,,,,,,,"id    1206238646350831618
Name: 68, dtype: object"
69,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,"id    1206237795792146432
Name: 69, dtype: object"
70,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,"id    1206237754562162695
Name: 70, dtype: object"
71,0.125,0.125,0.0,0.25,0.125,0.25,0.0,0.125,"id    1206236849813049344
Name: 71, dtype: object"
72,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,"id    1206232814364090369
Name: 72, dtype: object"
73,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,"id    1206231933543280640
Name: 73, dtype: object"
74,0.3,0.1,0.2,0.2,0.0,0.2,0.0,0.0,"id    1283551291810222080
Name: 74, dtype: object"
75,,,,,,,,,"id    1283549230767001600
Name: 75, dtype: object"
76,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,"id    1283548479491657729
Name: 76, dtype: object"
77,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,"id    1283546455656013826
Name: 77, dtype: object"
78,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,"id    1283545393498750977
Name: 78, dtype: object"
79,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,"id    1283543436352557056
Name: 79, dtype: object"
80,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,"id    1283543062875168770
Name: 80, dtype: object"
81,0.2,0.0,0.0,0.4,0.0,0.4,0.0,0.0,"id    1283540459772678149
Name: 81, dtype: object"
82,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.14285714285714285,"id    1283534352102625281
Name: 82, dtype: object"
83,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,"id    1283533786509193217
Name: 83, dtype: object"
84,0.3,0.1,0.2,0.2,0.0,0.2,0.0,0.0,"id    1283523494802841603
Name: 84, dtype: object"
85,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,"id    1283521738240937984
Name: 85, dtype: object"
86,,,,,,,,,"id    1283521298270806016
Name: 86, dtype: object"
87,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,"id    1283520623411712000
Name: 87, dtype: object"
88,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,"id    1283519639725715458
Name: 88, dtype: object"
