,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,id
0,,,,,,,,,"id    1283550835373338624
Name: 0, dtype: object"
1,,,,,,,,,"id    1283550729660137473
Name: 1, dtype: object"
2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"id    1283550582318522370
Name: 2, dtype: object"
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1283549683122606080
Name: 3, dtype: object"
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1283549566130966528
Name: 4, dtype: object"
5,,,,,,,,,"id    1283549289168416768
Name: 5, dtype: object"
6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1283546411531997189
Name: 6, dtype: object"
7,,,,,,,,,"id    1283546083352809472
Name: 7, dtype: object"
8,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142,"id    1283545761586614273
Name: 8, dtype: object"
9,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,"id    1283545674819219461
Name: 9, dtype: object"
10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"id    1283545552274300934
Name: 10, dtype: object"
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1283545164888240128
Name: 11, dtype: object"
12,,,,,,,,,"id    1283544146477809664
Name: 12, dtype: object"
13,,,,,,,,,"id    1283542524456570885
Name: 13, dtype: object"
14,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.14285714285714285,"id    1283540813880987652
Name: 14, dtype: object"
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1283540350733344769
Name: 15, dtype: object"
16,,,,,,,,,"id    1283539906854256640
Name: 16, dtype: object"
17,,,,,,,,,"id    1283538816310050821
Name: 17, dtype: object"
18,,,,,,,,,"id    1283538598118260737
Name: 18, dtype: object"
19,,,,,,,,,"id    1283538337836552192
Name: 19, dtype: object"
20,,,,,,,,,"id    1283538329745739778
Name: 20, dtype: object"
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1283537167386460160
Name: 21, dtype: object"
22,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.14285714285714285,"id    1283536156995485701
Name: 22, dtype: object"
23,,,,,,,,,"id    1283535996496355329
Name: 23, dtype: object"
24,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142,"id    1283535690282618882
Name: 24, dtype: object"
25,,,,,,,,,"id    1283535583739097090
Name: 25, dtype: object"
26,,,,,,,,,"id    1283533991849725953
Name: 26, dtype: object"
27,,,,,,,,,"id    1283532370734387200
Name: 27, dtype: object"
28,,,,,,,,,"id    1283532316963291137
Name: 28, dtype: object"
29,,,,,,,,,"id    1283528323587551235
Name: 29, dtype: object"
30,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,"id    1283527606185242624
Name: 30, dtype: object"
31,,,,,,,,,"id    1283527072816812034
Name: 31, dtype: object"
32,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2,"id    1283526065470791682
Name: 32, dtype: object"
33,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,"id    1283525681532547072
Name: 33, dtype: object"
34,,,,,,,,,"id    1283521255241547777
Name: 34, dtype: object"
35,,,,,,,,,"id    1283520409133080576
Name: 35, dtype: object"
