,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,id
0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,"id    1206359004110368768
Name: 0, dtype: object"
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206357645042405376
Name: 1, dtype: object"
2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206357259552378880
Name: 2, dtype: object"
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"id    1206356417239797761
Name: 3, dtype: object"
4,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,"id    1206355989856804864
Name: 4, dtype: object"
5,,,,,,,,,"id    1206354380909350912
Name: 5, dtype: object"
6,,,,,,,,,"id    1206353898123849729
Name: 6, dtype: object"
7,,,,,,,,,"id    1206352002151829509
Name: 7, dtype: object"
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206351793095151616
Name: 8, dtype: object"
9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"id    1206350958650748928
Name: 9, dtype: object"
10,,,,,,,,,"id    1206350467137187840
Name: 10, dtype: object"
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206349195692523520
Name: 11, dtype: object"
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206349163111297024
Name: 12, dtype: object"
13,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,"id    1206348519046631425
Name: 13, dtype: object"
14,,,,,,,,,"id    1206345227147128832
Name: 14, dtype: object"
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206343936119201792
Name: 15, dtype: object"
16,0.0,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,"id    1206342884934459392
Name: 16, dtype: object"
17,,,,,,,,,"id    1206342098611580929
Name: 17, dtype: object"
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206341942579122176
Name: 18, dtype: object"
19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"id    1206341796067856384
Name: 19, dtype: object"
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206339469827289088
Name: 20, dtype: object"
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206338572380516353
Name: 21, dtype: object"
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206336913461915649
Name: 22, dtype: object"
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206333278636171265
Name: 23, dtype: object"
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206332587616145408
Name: 24, dtype: object"
25,,,,,,,,,"id    1206330522311569409
Name: 25, dtype: object"
26,,,,,,,,,"id    1206330189401198597
Name: 26, dtype: object"
27,,,,,,,,,"id    1206324824647372803
Name: 27, dtype: object"
28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206321368708587520
Name: 28, dtype: object"
29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"id    1206321324337115137
Name: 29, dtype: object"
30,,,,,,,,,"id    1206320626249502721
Name: 30, dtype: object"
31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206319686654164992
Name: 31, dtype: object"
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206318195235328002
Name: 32, dtype: object"
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206317887696322561
Name: 33, dtype: object"
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206317656292368389
Name: 34, dtype: object"
35,,,,,,,,,"id    1206317083027488770
Name: 35, dtype: object"
36,,,,,,,,,"id    1206315034974052353
Name: 36, dtype: object"
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206314654399651840
Name: 37, dtype: object"
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206312243748626434
Name: 38, dtype: object"
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206309230556397570
Name: 39, dtype: object"
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206308949194092545
Name: 40, dtype: object"
41,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,"id    1206306079635918848
Name: 41, dtype: object"
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206305072940011521
Name: 42, dtype: object"
43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206302911577366528
Name: 43, dtype: object"
44,,,,,,,,,"id    1206302699492446208
Name: 44, dtype: object"
45,,,,,,,,,"id    1206302489563320322
Name: 45, dtype: object"
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206301464127098880
Name: 46, dtype: object"
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206300026475024384
Name: 47, dtype: object"
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206297764176551942
Name: 48, dtype: object"
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206297443832418305
Name: 49, dtype: object"
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206297108577427456
Name: 50, dtype: object"
51,,,,,,,,,"id    1206296545013964800
Name: 51, dtype: object"
52,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"id    1206296020876845056
Name: 52, dtype: object"
53,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,"id    1206295974756409345
Name: 53, dtype: object"
54,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,"id    1206295942376366091
Name: 54, dtype: object"
55,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,"id    1206294540019257347
Name: 55, dtype: object"
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"id    1206293655369256960
Name: 56, dtype: object"
